true_A,pred_A,feat_acc_type,feat_place,feat_place_feat,feat_A_move,feat_B_move
0,1.5464707612991333,0.02286097669486539,-0.009218697342713857,-0.009218697342713857,-0.28596821272967193,-0.6718299864923029
0,1.6487091779708862,0.023483398114331075,-0.007433358984329632,-0.007433358984329632,-0.25718905763318917,-0.7004195801805421
20,32.87276840209961,0.059552107898894306,0.1694148893079608,0.1694148893079608,-0.3992831531041931,-0.18593504603930283
100,82.02812957763672,-0.004009675495744463,0.016903485966025224,0.016903485966025224,0.11879426717106892,0.8554639204151975
0,1.4441906213760376,0.003963110711945079,-0.0016223765053961195,-0.0016223765053961195,-0.17712624921764794,-0.8094092425774306
20,24.161867141723633,0.014105288909609338,0.03789243729892297,0.03789243729892297,-0.6393986453612532,-0.286902194877869
0,4.758635997772217,0.0030695747736558497,-0.04587394225447775,-0.04587394225447775,-0.3335892471731625,-0.5915626019502406
0,1.4825178384780884,-0.0014742875508934534,-0.00043546897441889285,-0.00043546897441889285,-0.06032890549774939,-0.932364783851499
100,52.802894592285156,-0.005534127798754972,-0.0968917219902102,-0.0968917219902102,0.3273551697332019,0.5560841746142476
50,41.35441970825195,-0.03884742992001031,-0.07040748533287298,-0.07040748533287298,0.5388791129221114,-0.30385701945253357
40,39.14031982421875,-0.08163996213162714,-0.213832253271422,-0.213832253271422,0.02726495094170956,-0.6370107276965581
100,80.90705871582031,0.011181152058641184,-0.0060550574497958125,-0.0060550574497958125,0.09735317762848401,0.8843884354431378
70,74.31696319580078,-0.002834173847681845,-0.02434768420874235,-0.02434768420874235,0.06727993161187185,0.8951292777011689
60,69.6941146850586,0.04548784556801557,0.023721713507668846,0.023721713507668846,0.17702529225324137,0.7329171420600222
10,24.04501724243164,0.014340787724217785,-0.035843990583446936,-0.035843990583446936,0.08065226121626268,-0.8648275312129672
0,1.4503273963928223,0.0060866193857033275,0.0049326305833218,0.0049326305833218,-0.18576840088773677,-0.8016763794648175
60,66.48033142089844,0.044574968964838785,0.03301050716197308,0.03301050716197308,0.2008117574796759,0.691490214725257
0,2.025528907775879,0.01353849491174229,0.009671088490448131,0.009671088490448131,-0.8530409553458211,-0.11127994784496265
0,5.094188213348389,0.0001165536092162928,-0.04262926101154504,-0.04262926101154504,-0.3248534899549866,-0.6091531327576318
60,65.26815032958984,0.03243966196901846,0.013575570659071442,0.013575570659071442,0.19652747111160232,0.7385921844975301
70,5.148881912231445,-0.06942382512816198,-0.031573181154517314,-0.031573181154517314,0.12763401254812348,0.09645795908893143
